question,answer,additionalInfo
"Quel aviateur français a réalisé la première traversée de la Manche en avion en 1909 ?", "Louis Blériot", "Il a effectué le vol à bord de son monoplan, le Blériot XI, en 37 minutes, s'imposant ainsi comme un pionnier de l'aviation."
"En France, quel est le taux d'alcoolémie légal maximum autorisé pour un conducteur en possession d'un permis de conduire standard ?", "0,5 gramme par litre de sang", "Ce taux est abaissé à 0,2 g/l pour les jeunes conducteurs en période probatoire."
"Quelle est la hauteur de la Tour Eiffel, en incluant ses antennes, ce qui en fait la plus haute structure de Paris ?", "330 mètres", "La structure seule mesure 300 mètres, mais l'ajout des antennes a fait gagner 30 mètres supplémentaires à la construction."
"Entre quelles années le mur de Berlin, symbole de la Guerre Froide, a-t-il été érigé puis démoli, séparant l'Est et l'Ouest de la ville ?", "De 1961 à 1989", "Sa construction a commencé le 13 août 1961 et sa chute a eu lieu le 9 novembre 1989, marquant la fin de la Guerre Froide."
"Quelle grande nation asiatique a pour monnaie le yuan ?", "La Chine", "Le yuan est l'unité de compte de la monnaie officielle de la République populaire de Chine, le renminbi (RMB)."
"Quelle est la monnaie officielle du Japon ?", "Le yen", "Le yen est la troisième monnaie la plus échangée sur le marché des devises après le dollar américain et l'euro."
"Que signifie l'acronyme Y.M.C.A., popularisé par le groupe Village People ?", "Young Men's Christian Association", "Il s'agit d'une organisation mondiale de jeunes chrétiens, fondée en 1844, qui propose des activités sportives et sociales."
"Quel terme latin désigne un motif ou un acte qui justifie ou déclenche une guerre ?", "Le casus belli", "Ce terme signifie littéralement 'cas de guerre'. L'assassinat de l'archiduc François-Ferdinand en 1914 fut, par exemple, le casus belli de la Première Guerre mondiale."
"Quel procédé de conservation des aliments, qui consiste à chauffer un liquide à une température modérée puis à le refroidir rapidement, a été mis au point par un chimiste français ?", "La pasteurisation", "Découvert par Louis Pasteur au XIXe siècle, ce procédé a révolutionné la conservation des aliments en détruisant les micro-organismes nocifs."
"Comment appelle-t-on une communauté agricole collective et autogérée, typique d'Israël ?", "Un kibboutz", "Fondé sur des idéaux de socialisme et de sionisme, le premier kibboutz a été créé en 1910 en Galilée. Bien qu'ayant évolué, ils restent un symbole d'Israël."
"Quel conflit armé, qui a opposé Israël à une coalition de pays arabes en 1967, n'a duré que six jours ?", "La Guerre des Six Jours", "Cette guerre a eu des conséquences géopolitiques majeures, notamment l'occupation par Israël de la Cisjordanie, de la bande de Gaza, du plateau du Golan et du Sinaï."
"Quelle fête religieuse juive, considérée comme le jour du Grand Pardon, est marquée par un jeûne de 25 heures ?", "Yom Kippour", "C'est le jour le plus saint de l'année juive. Le nom signifie 'Jour de l'Expiation' en hébreu."
"Quel fruit exotique, souvent utilisé en décoration, est enveloppé dans une fine enveloppe en forme de lampion ?", "Le physalis", "Son nom vient du grec 'physa' (vessie ou bulle). Il est aussi connu sous le nom d'amour en cage."
"Quelle célèbre série policière, dont l'action se déroule à Hawaï, a pour slogan 'Book 'em, Danno' ?", "Hawaï 5-0", "La série originale a été diffusée de 1968 à 1980. Le titre fait référence au fait que Hawaï était le 50ème État des États-Unis."
"Quel traité, signé en 1919, a mis officiellement fin à la Première Guerre mondiale ?", "Le Traité de Versailles (dans le château de Versailles)", "Il a imposé de lourdes sanctions économiques et territoriales à l'Allemagne, contribuant aux tensions qui allaient mener à la Seconde Guerre mondiale."
