question,answer,additionalInfo
"À quel inventeur américain doit-on la vulcanisation du caoutchouc en 1839?", "Charles Goodyear", "Mais aussi Thomas Hancock (britannique) au même moment. Il découvre la vulcanisation par sérendipité en le chauffant avec du souffre. Il meurt très endetté (200k$ de l’époque). Thomas Hancock a été plus rapide que lui pour déposer le brevet de la vulcanisation le 21 novembre 1843, ayant pu découvrir sur les échantillons de Goodyear les traces jaunes de soufre révélant son procédé, et Charles Goodyear ne tirera presque aucun bénéfice de ses inventions."
"Quelle est la capitale de la RDC (Congo) ?", "Kinshasa", "1ère métropole francophone au monde, qui est limitrophe de Brazzaville, capitale de la République du Congo."
"Mathématicien français créateur de la géométrie descriptive, il créé avec Lazare Carnot et un groupe de scientifiques/politiciens l’école Polytechnique", "Gaspard Monge", "Qui habitait peut-être Oignons"
"Campagne française de solidarité initiée par Bernadette Chirac et David Douillet, menée chaque année depuis 1989 par la Fondation des Hôpitaux afin de collecter des fonds destinés à l'amélioration des conditions d'hospitalisation des enfants et des adolescents.", "Opération Pièces Jaunes", ""
"Subdivision du rouble russe ou de la hryvnia ukrainienne", "Le kopeck", ""
"Selon le rite funéraire grec, on devait placer dans la bouche des morts … pour leur permettre de payer au passeur nommé …. le passage du …. Ceux qui ne pouvaient pas payer étaient condamnés à errer sur les berges durant cent ans.", "une obole, Charon, le Styx", "Une obole (monnaie qui vaut 1/6 de Drachme)"
"Monnaie de l’empire romain (et son subdiviseur)", "Le denier (et les sesterces)", ""
"Monnaie en Algérie", "Le dinar", ""
"De quel groupe de rap marseillais est originaire Soprano ?", "Psy 4 de la rime", "« Le monde est stone »"
"Passage à la télévision couleur en France", "1967", ""
"À qui est attribuée la citation « Un chef c’est fait pour cheffer ? »", "Jacques Chirac", ""
"Qu’est-ce qu’un épistémophile ?", "Quelqu’un qui prend plaisir à acquérir de nouveaux savoirs", ""
"Quelle est la différence entre une Bottega et une Bodega ?", "Bottega (italien) = lieu de création ou boutique (ex : Bottega Veneta) ; Bodega (espagnol) = lieu de stockage ou vente de vin / petite supérette", ""
"Quel insecte, également connu sous le nom de lépisme, possède des antennes en forme de trident et se nourrit de papier et de miettes ?", "Le poisson d'argent (Lépisme).", "Le lépisme argenté (Lepisma saccharinum) est un petit insecte sans ailes, reconnaissable à son corps argenté et à ses mouvements qui rappellent ceux d'un poisson. Il est considéré comme un insecte primitif car il n'a pas évolué depuis des millions d'années. Apparence : Son corps effilé se termine par trois longs appendices en forme de trident, et il a deux longues antennes à l'avant. Il mesure entre 1 et 1,5 cm. Alimentation : Il est attiré par les sucres complexes et l'amidon que l'on trouve dans des objets du quotidien : livres, photos, colle de papier peint, cartons, grains de céréales, miettes de pain et même la colle des tapis. Environnement : Il préfère les endroits sombres et humides (salles de bain, cuisines, sous-sols) où il peut se cacher et se nourrir.Menace : Bien qu'il soit inoffensif pour l'homme, sa présence peut causer des dégâts aux livres et aux documents anciens, ou aux réserves de nourriture."
"Quel président des États-Unis a cherché sans succès à faire en sorte que la 1ère guerre mondiale soit vraiment la der des ders dans son discours dit des « 14 points » prononcé au congrès le 8 janvier 1918 ?", "Thomas Woodrow Wilson", ""
