question,answer,additionalInfo
"Quel écrivain français, en exil sur l'île de Jersey, s'est passionné pour le spiritisme et a participé à des séances de communication avec les esprits ?", "Victor Hugo", "Ces séances, appelées 'les tables tournantes de Jersey', ont eu lieu entre 1853 et 1855. Hugo pensait y communiquer avec des esprits tels que Shakespeare, Socrate ou Jésus."
"Quel pont célèbre de Venise, qui relie l'ancien palais des Doges aux prisons, est réputé pour être le lieu où les prisonniers poussaient un dernier soupir avant d'être emprisonnés ?", "Le Pont des Soupirs", "Construit en pierre d'Istrie au XVIIe siècle, son nom vient d'une légende romantique, mais il était plutôt emprunté par des petits criminels et non des condamnés à mort."
"Dans le système féodal, quel terme désignait le paysan libre qui habitait dans un village (villa), avant de devenir une insulte ?", "Le vilain", "Le mot est issu du latin 'villanus'. L'évolution de son sens, de 'paysan' à 'personne de basse condition', illustre la dégradation de la perception du monde rural."
"Quel mollusque marin, apparu au Dévonien et disparu lors de la même crise que les dinosaupes que les dinosaures, est un excellent marqueur pour dater les couches géologiques, et se distingue du nautile par son siphon en position ventrale ?", "L'ammonite", "On la distingue du nautile par son siphon en position ventrale et par ses sutures (les lignes de jonction entre les cloisons des loges de la coquille) très complexes."
"Comment appelle-t-on une technique de construction ancestrale qui consiste à comprimer de la terre argileuse humide entre des coffrages en bois pour créer des murs ?", "Le pisé", "Utilisé dans le monde entier, le pisé offre une bonne inertie thermique et régule naturellement l'humidité. Des exemples célèbres incluent des maisons en France et la Grande Muraille de Chine."
"Quel terme désigne les animaux qui vivent à la 'frontière' de nos espaces de vie, comme les pigeons, les rats ou les araignées ?", "Les animaux liminaires", "Le terme vient du latin 'limen' qui signifie 'seuil'. Ces animaux sont adaptés pour vivre à proximité des habitations humaines."
"Quel personnage du cirque, vêtu d'un habit de gala, est le maître de cérémonie qui présente les numéros ?", "Monsieur Loyal", "Le nom vient de la famille de cirque Loyal, très populaire au XIXe siècle en France. Le terme est depuis devenu un nom commun."
"Quel explorateur français est le premier à avoir remonté le fleuve Saint-Laurent et à avoir donné au Canada son nom actuel ?", "Jacques Cartier", "Il a exploré l'Amérique du Nord au XVIe siècle. Le nom 'Canada' vient du mot iroquois 'kanata', qui signifie 'village' ou 'établissement'."
"Quel réalisateur français est célèbre pour avoir dirigé des films culte comme 'Les Bronzés', 'Le Dîner de Cons' ou 'Ridicule' ?", "Patrice Leconte", "Réalisateur prolifique, il est connu pour ses comédies populaires et ses films historiques."
"Quel est le nom de la déesse de la sagesse et de la guerre, qui est née, selon la mythologie grecque, entièrement armée du crâne de Zeus ?", "Athéna", "Parmi les nombreux enfants de Zeus, on trouve aussi Apollon, Artémis, Hermès, Arès, Dionysos ou encore Héraclès."
"Comment se nomment les trois Rois Mages qui, selon la tradition chrétienne, sont venus offrir des présents à l'enfant Jésus ?", "Gaspard, Melchior et Balthazar", "Leurs offrandes étaient l'or (pour la royauté), l'encens (pour la divinité) et la myrrhe (pour l'immortalité)."
"Que signifie l'acronyme DOM-TOM, qui désignait les territoires français situés en dehors de l'Europe ?", "Départements et Territoires d'Outre-Mer", "L'appellation a été remplacée en 2003 par 'Départements et Régions d'Outre-Mer (DROM)' et 'Collectivités d'Outre-Mer (COM)', même si l'ancien terme est encore largement utilisé."
"En quelle année l'Organisation des Nations Unies a-t-elle officialisé le 8 mars comme la Journée internationale des droits de la femme ?", "1977", "Cette journée a pour origine les manifestations de femmes au début du XXe siècle en Europe et aux États-Unis, réclamant de meilleures conditions de travail et le droit de vote."
"Qui était surnommé 'l'Incorruptible' sous la Révolution française pour son dévouement à la cause et sa rigueur morale ?", "Maximilien de Robespierre", "Avocat et homme politique, il fut une figure majeure de la Révolution et du mouvement des Jacobins."
"Qui a peint le célèbre tableau 'Le Radeau de la Méduse', qui dépeint un épisode tragique du naufrage de la frégate française 'La Méduse' ?", "Théodore Géricault", "Peint en 1819, il est une œuvre majeure du romantisme français. Le tableau est une critique virulente de l'incompétence du commandement de la marine de l'époque."
